sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1713339	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713339/ERR1713339_strict_perfect_overlap.tsv	ERR1713339_strict_perfect_overlap.tsv	5834	fe16bf6c166ba3c1802f24d0e369f6061492f0cc991a0b52d125efb20ae43297	PASS
ERR1713339	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713339/ERR1713339_strict_perfect_sample_summary.tsv	ERR1713339_strict_perfect_sample_summary.tsv	294	50451cce6b854d19ff063f6ed6a77a55c1b8ad01606baf85c279e81363444ed8	PASS
ERR1713344	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713344/ERR1713344_drug_class_summary.tsv	ERR1713344_drug_class_summary.tsv	5709	c65c1e94b6bb9ffba7d6d69763dc1b18053c5503dc266ca5540853db9e60b9c6	PASS
ERR1713344	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713344/ERR1713344_sample_summary.tsv	ERR1713344_sample_summary.tsv	349	7a655a47e015ab79f511afe5a7931e6ac83615432532ab76c9684f189bb5dc41	PASS
ERR1713344	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713344/ERR1713344_strict_perfect_overlap.tsv	ERR1713344_strict_perfect_overlap.tsv	75395	658aecf61bba1183ad36fe3234a5030db56a2f4e51f19cdb1350294d5894626e	PASS
ERR1713344	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713344/ERR1713344_strict_perfect_sample_summary.tsv	ERR1713344_strict_perfect_sample_summary.tsv	302	21e8a6927866ac2274aae205583497c6bff1f45765963a7b73931cdb793ef413	PASS
ERR1725947	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725947/ERR1725947_drug_class_summary.tsv	ERR1725947_drug_class_summary.tsv	5720	7b9dcb141b4b49e316977c1f0ed8712545bf6821fe1b33f01b0a9782760424c8	PASS
ERR1725947	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725947/ERR1725947_sample_summary.tsv	ERR1725947_sample_summary.tsv	346	a283c61bf65e6b9b362ec4f441334c6bdc104eabfaca06354017b226a81a28b8	PASS
ERR1725947	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725947/ERR1725947_strict_perfect_overlap.tsv	ERR1725947_strict_perfect_overlap.tsv	39014	bb855b2d3f234e19d3378a8cf085d21a7b60f6f2fa43c02a053b7a03570ef56b	PASS
ERR1725947	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725947/ERR1725947_strict_perfect_sample_summary.tsv	ERR1725947_strict_perfect_sample_summary.tsv	299	2e766f4db098835da38858d2647310b130151e70fec557a984e7c187eeaf8c10	PASS
ERR1725962	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725962/ERR1725962_drug_class_summary.tsv	ERR1725962_drug_class_summary.tsv	5238	7e8f5fb9682517a6ac404904a31c34ac877991a72a50b7b5b7432f6c3d9b0253	PASS
ERR1725962	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725962/ERR1725962_sample_summary.tsv	ERR1725962_sample_summary.tsv	342	c66c47f825ec41857e762493d3d02b9583f7adf5a41a9693640c6f364e17e073	PASS
ERR1725962	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725962/ERR1725962_strict_perfect_overlap.tsv	ERR1725962_strict_perfect_overlap.tsv	11052	1dffd8886c1bfeb4c6a892920bc9f25e0f637635012e86e58fd23f502456f4f2	PASS
ERR1725962	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1725962/ERR1725962_strict_perfect_sample_summary.tsv	ERR1725962_strict_perfect_sample_summary.tsv	297	9b087ee57538749fc4b84b4ada6551736ee1008542fe4b9cbaf809184048077d	PASS
