sample_id	source_file	source_bytes	source_lines	source_sha256	delivered_file	delivered_bytes	delivered_lines	delivered_sha256	source_columns	delivered_columns	excluded_columns	status
ERR1713350	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713350/ERR1713350_rgi_main_contigs.txt	94141783	43186	134c0c48d86604b3de048687f830bd697a8066661ab035e664165fed2ff2e40d	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713350/ERR1713350_rgi_main_compact.tsv	18566805	43186	ea030179b39ced597604ee190e48e507c70170a72e81de55b03e193b544f5ba1	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713354	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713354/ERR1713354_rgi_main_contigs.txt	22767437	10792	d76a3707c8ede71cf4ba58f165c00270ec857d5ff8391f08b0f38580fc8fb0fd	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713354/ERR1713354_rgi_main_compact.tsv	4620356	10792	1c80784b2fc1302892c90eea8fa363664172a398644518e26c33c4ddb667c47d	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713355	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713355/ERR1713355_rgi_main_contigs.txt	64150844	29633	b2426298f712c5f2bddb1f7429119126d3a9034f468727649e0b8136f2248fc6	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713355/ERR1713355_rgi_main_compact.tsv	12659986	29633	80d5d4ca622ca7c4360b39f3246b5a091f56225f718eaefa680bd89fe849abd4	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713359	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713359/ERR1713359_rgi_main_contigs.txt	32443697	14348	2213fd75768c44cdc8a3681514b6be830b5a644968ea5569f2b632cc4c89bac1	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713359/ERR1713359_rgi_main_compact.tsv	6254954	14348	2014ff076e7491b7262fbb2f3e6993746f628d6057b17fb27aadb132968a981d	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713361	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713361/ERR1713361_rgi_main_contigs.txt	4086206	1978	13b181d6fdd391475e8ad4ee975263bf2787375b8b1697638806ff2727260c85	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713361/ERR1713361_rgi_main_compact.tsv	843930	1978	9bc7387930d076dee37a961547e4de208654f761562828d288611370435ea5e7	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713362	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713362/ERR1713362_rgi_main_contigs.txt	78110594	34672	7e3de2c1f70295f5f0df35f4df905b8167df565b64cc54b408103e775db7fd32	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713362/ERR1713362_rgi_main_compact.tsv	15013201	34672	e9992e64f4e5fed5460138f8877d1afbd3feb002f2faeb224126a2b3e62c38e3	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713365	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713365/ERR1713365_rgi_main_contigs.txt	27181376	12549	9bce8cce4d3661d918ec68c13c5013831d19876ccfe9e5dc9bd2fc191bc43b2d	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713365/ERR1713365_rgi_main_compact.tsv	5430059	12549	8a5c22094d02aa828909bf5d18e0e8175973d962c255eea5689b1a666a7f7e47	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713369	rr-analysis/hendriksen_sensitivity/stage3_5_mobility/rgi_main_contigs/ERR1713369/ERR1713369_rgi_main_contigs.txt	57667070	27195	7ac8a4441f97dee2b8ca5d93b5c774cd0931b58e65f3831fca4046915ed4a925	rr-analysis/hendriksen_resistancemap_2016/dataset_inputs_selected8/CARD_RGI_Main/ERR1713369/ERR1713369_rgi_main_compact.tsv	11644969	27195	0e0fe2004c62666ee7a49ecac397809ca31aab809552164fb549ee0185e947aa	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
