sample_id	aro_gene	hit_rows
E_1-2	LRA-18	191
E_1-2	OXA-454	794
E_1-2	OXA-1239	316
E_1-2	aadA10	815
E_1-2	TEM-178	64
E_1-2	CTX-M-220	3
E_1-2	IMP-20	34
E_1-2	OXA-496	34
E_1-2	LRA-19	71
E_1-2	OXA-729	178
E_1-2	IMP-61	146
E_1-2	OXA-455	115
E_1-2	OXA-181	216
E_1-2	OXA-140	526
E_1-2	MOX-1	213
E_1-2	aadA11	859
E_1-2	CTX-M-221	5
E_1-2	OXA-182	4
E_1-2	OXA-497	2
E_1-2	PDC-604	1
E_1-2	IMP-62	44
E_1-2	IMP-21	34
E_1-2	MOX-2	196
E_1-2	OXA-415	596
E_1-2	OXA-141	654
E_1-2	aadA12	890
E_1-2	HMB-1	6
E_1-2	CTX-M-222	2
E_1-2	IMP-22	31
E_1-2	IMP-63	25
E_1-2	PDC-331	15
E_1-2	OXA-457	105
E_1-2	SED-1	40
E_1-2	OXA-498	42
E_1-2	OXA-416	199
E_1-2	MOX-3	199
E_1-2	OXA-183	395
E_1-2	OXA-142	672
E_1-2	OXA-101	680
E_1-2	aadA13	877
E_1-2	OXA-143	2
E_1-2	OXA-499	3
E_1-2	HMB-2	7
E_1-2	CTX-M-264	1
E_1-2	PDC-373	1
E_1-2	CTX-M-223	15
E_1-2	IMP-23	38
E_1-2	IMP-64	11
E_1-2	PDC-332	22
E_1-2	OXA-417	10
E_1-2	SED-2	34
E_1-2	OXA-458	88
E_1-2	OXA-184	41
E_1-2	MOX-4	198
E_1-2	OpmB	2145
E_1-2	aadA14	550
E_1-2	OXA-144	5
E_1-2	CTX-M-265	1
E_1-2	IMP-24	42
E_1-2	IMP-65	28
E_1-2	OXA-418	34
E_1-2	PDC-333	85
E_1-2	OXA-459	85
E_1-2	OXA-185	41
E_1-2	OXA-103	36
E_1-2	MOX-5	89
E_1-2	aadA15	897
E_1-2	OXA-104	3
E_1-2	PDC-334	1
E_1-2	CTX-M-266	26
E_1-2	IMP-66	136
E_1-2	IMP-25	141
E_1-2	OpmD	350
E_1-2	OXA-145	461
E_1-2	MOX-6	105
E_1-2	aadA16	745
E_1-2	PDC-376	2
E_1-2	CTX-M-267	2
E_1-2	OXA-146	9
E_1-2	ACT-180	4
E_1-2	mef(E)	8
E_1-2	CTX-M-226	2
E_1-2	IMP-67	11
E_1-2	IMP-26	92
E_1-2	OmpA	1622
E_1-2	MOX-7	133
E_1-2	aadA17	895
E_1-2	CTX-M-227	1
E_1-2	ACT-140	8
E_1-2	CTX-M-268	6
E_1-2	IMP-27	12
E_1-2	IMP-68	28
E_1-2	ACT-181	78
E_1-2	OXA-106	17
E_1-2	RSA2-1	27
E_1-2	MOX-8	155
E_1-2	OXA-147	418
E_1-2	OXA-107	1
E_1-2	PDC-378	2
E_1-2	CTX-M-269	2
E_1-2	ACT-100	13
E_1-2	ACT-141	27
E_1-2	IMP-28	28
E_1-2	ACT-182	13
E_1-2	IMP-69	38
E_1-2	OXA-148	12
E_1-2	MOX-9	134
E_1-2	PDC-338	1
E_1-2	PDC-379	6
E_1-2	ACT-101	10
E_1-2	ACT-142	15
E_1-2	IMP-29	42
E_1-2	ACT-183	2
E_1-2	AAC(6')-Ia	105
E_1-2	CTX-M-229	22
E_1-2	OpmH	1112
E_1-2	PSZ-1	89
E_1-2	PDC-339	2
E_1-2	ACT-184	13
E_1-2	ACT-102	14
E_1-2	Cmen_BlaB	24
E_1-2	ACT-143	15
E_1-2	FAR-1	67
E_1-2	AAC(6')-Ib	230
E_1-2	ACT-144	11
E_1-2	ACT-103	13
E_1-2	AAC(6')-Ic	51
E_1-2	ACT-185	51
E_1-2	catA1	152
E_1-2	ACT-145	5
E_1-2	ACT-104	38
E_1-2	ACT-105	19
E_1-2	ACT-146	15
E_1-2	GPC-1	72
E_1-2	ACT-187	5
E_1-2	Bsui_mprF	643
E_1-2	ACT-188	13
E_1-2	Lmon_mprF	113
E_1-2	ACT-106	28
E_1-2	AAC(6')-If	78
E_1-2	catA4	162
E_1-2	ACT-189	2
E_1-2	ACT-148	2
E_1-2	AAC(6')-Ig	50
E_1-2	vanY_in_vanF_cl	97
E_1-2	ACT-107	21
E_1-2	erm(32)	130
E_1-2	vanY_in_vanB_cl	252
E_1-2	ACT-108	19
E_1-2	AAC(6')-Ih	47
E_1-2	AAC(6')-Ii	81
E_1-2	ACT-109	69
E_1-2	AAC(6')-Ij	54
E_1-2	catA8	159
E_1-2	AAC(6')-Ik	57
E_1-2	crxA	6
E_1-2	tet(X)	437
E_1-2	AAC(6')-Il	13
E_1-2	tet(T)	34117
E_1-2	FOX-20	64
E_1-2	AAC(6')-Im	74
E_1-2	tet(L)	31
E_1-2	FOX-21	74
E_1-2	tet(H)	5556
E_1-2	BEL-1	46
E_1-2	SatA	38
E_1-2	AAC(6')-Ip	74
E_1-2	tet(D)	2858
E_1-2	PEN-A1	135
E_1-2	PEN-A2	14
E_1-2	AAC(6')-Iq	65
E_1-2	BEL-2	45
E_1-2	BEL-3	43
E_1-2	AAC(6')-Ir	52
E_1-2	PEN-A3	38
E_1-2	dfrA3b	2
E_1-2	BEL-4	46
E_1-2	AAC(6')-Is	70
E_1-2	PER-10	85
E_1-2	PEN-A5	26
E_1-2	CBP-1	54
E_1-2	AAC(6')-It	54
E_1-2	Saur_norA	145
E_1-2	PER-11	87
E_1-2	PEN-A6	26
E_1-2	AAC(6')-Iu	71
E_1-2	SSA	186
E_1-2	tet(65)	4017
E_1-2	PER-12	86
E_1-2	AAC(6')-Iv	55
E_1-2	PEN-A7	28
E_1-2	abeM	1298
E_1-2	PER-13	76
E_1-2	AAC(6')-Iw	56
E_1-2	PEN-A8	45
E_1-2	PER-14	69
E_1-2	AAC(6')-Ix	70
E_1-2	PEN-A9	45
E_1-2	PER-15	71
E_1-2	tet(38)	1
E_1-2	AAC(6')-Iy	58
E_1-2	catII	165
E_1-2	PER-16	83
E_1-2	MecI_rep	29
E_1-2	AAC(6')-Iz	50
E_1-2	clbA	1650
E_1-2	PER-17	83
E_1-2	clbB	2489
E_1-2	PER-18	80
E_1-2	tet(30)	5578
E_1-2	SHV-133	1
E_1-2	clbC	1887
E_1-2	abeS	1397
E_1-2	SHV-134	5
E_1-2	Vang_ACT_CHL	193
E_1-2	TEM-90	51
