set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_clean21_plus_USA_chicago_11	ERR1713372	disinfecting agents and antiseptics	62	9
RM2016_clean21_plus_USA_chicago_11	ERR1713372	fluoroquinolone antibiotic	24	4
RM2016_clean21_plus_USA_chicago_11	ERR1713372	glycopeptide antibiotic	81	2
RM2016_clean21_plus_USA_chicago_11	ERR1713372	glycylcycline	8	2
RM2016_clean21_plus_USA_chicago_11	ERR1713372	lincosamide antibiotic	6	3
RM2016_clean21_plus_USA_chicago_11	ERR1713372	macrolide antibiotic	19	5
RM2016_clean21_plus_USA_chicago_11	ERR1713372	monobactam	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	nitroimidazole antibiotic	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1713372	nucleoside antibiotic	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	oxazolidinone antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713372	penam	24	4
RM2016_clean21_plus_USA_chicago_11	ERR1713372	penem	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	peptide antibiotic	9	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	phenicol antibiotic	11	2
RM2016_clean21_plus_USA_chicago_11	ERR1713372	phosphonic acid antibiotic	6	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	pleuromutilin antibiotic	1	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	rifamycin antibiotic	10	1
RM2016_clean21_plus_USA_chicago_11	ERR1713372	streptogramin A antibiotic	3	2
RM2016_clean21_plus_USA_chicago_11	ERR1713372	streptogramin B antibiotic	3	2
RM2016_clean21_plus_USA_chicago_11	ERR1713372	streptogramin antibiotic	7	4
RM2016_clean21_plus_USA_chicago_11	ERR1713372	tetracycline antibiotic	28	5
RM2016_clean21_plus_USA_chicago_11	ERR1713399	aminoglycoside antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	carbapenem	5	1
RM2016_clean21_plus_USA_chicago_11	ERR1713399	cephalosporin	5	1
RM2016_clean21_plus_USA_chicago_11	ERR1713399	disinfecting agents and antiseptics	9	1
RM2016_clean21_plus_USA_chicago_11	ERR1713399	elfamycin antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	fluoroquinolone antibiotic	4	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	glycopeptide antibiotic	44	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	glycylcycline	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	lincosamide antibiotic	3	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	macrolide antibiotic	7	2
RM2016_clean21_plus_USA_chicago_11	ERR1713399	penam	5	1
RM2016_clean21_plus_USA_chicago_11	ERR1713399	streptogramin A antibiotic	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	streptogramin B antibiotic	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1713399	streptogramin antibiotic	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713399	tetracycline antibiotic	10	2
RM2016_clean21_plus_USA_chicago_11	ERR1713409	aminocoumarin antibiotic	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	aminoglycoside antibiotic	18	5
RM2016_clean21_plus_USA_chicago_11	ERR1713409	carbapenem	9	2
RM2016_clean21_plus_USA_chicago_11	ERR1713409	cephalosporin	20	4
RM2016_clean21_plus_USA_chicago_11	ERR1713409	cephamycin	6	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	diaminopyrimidine antibiotic	4	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	disinfecting agents and antiseptics	24	2
RM2016_clean21_plus_USA_chicago_11	ERR1713409	elfamycin antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	fluoroquinolone antibiotic	19	4
RM2016_clean21_plus_USA_chicago_11	ERR1713409	glycopeptide antibiotic	91	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	glycylcycline	4	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	lincosamide antibiotic	9	4
RM2016_clean21_plus_USA_chicago_11	ERR1713409	macrolide antibiotic	23	3
RM2016_clean21_plus_USA_chicago_11	ERR1713409	monobactam	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	nitroimidazole antibiotic	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	nucleoside antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	penam	20	4
RM2016_clean21_plus_USA_chicago_11	ERR1713409	penem	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	peptide antibiotic	9	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	phenicol antibiotic	7	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	phosphonic acid antibiotic	5	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	pleuromutilin antibiotic	1	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	rifamycin antibiotic	7	0
RM2016_clean21_plus_USA_chicago_11	ERR1713409	streptogramin A antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	streptogramin B antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713409	streptogramin antibiotic	6	2
RM2016_clean21_plus_USA_chicago_11	ERR1713409	tetracycline antibiotic	21	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	aminocoumarin antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713410	aminoglycoside antibiotic	14	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	carbapenem	6	2
RM2016_clean21_plus_USA_chicago_11	ERR1713410	cephalosporin	16	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	cephamycin	7	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	diaminopyrimidine antibiotic	4	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	disinfecting agents and antiseptics	33	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	elfamycin antibiotic	3	0
RM2016_clean21_plus_USA_chicago_11	ERR1713410	fluoroquinolone antibiotic	31	6
RM2016_clean21_plus_USA_chicago_11	ERR1713410	glycopeptide antibiotic	88	6
RM2016_clean21_plus_USA_chicago_11	ERR1713410	glycylcycline	5	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	lincosamide antibiotic	5	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	macrolide antibiotic	20	5
RM2016_clean21_plus_USA_chicago_11	ERR1713410	monobactam	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	nitroimidazole antibiotic	9	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	nucleoside antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713410	penam	21	4
RM2016_clean21_plus_USA_chicago_11	ERR1713410	penem	2	2
RM2016_clean21_plus_USA_chicago_11	ERR1713410	peptide antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	phenicol antibiotic	8	3
RM2016_clean21_plus_USA_chicago_11	ERR1713410	phosphonic acid antibiotic	3	0
RM2016_clean21_plus_USA_chicago_11	ERR1713410	rifamycin antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	streptogramin A antibiotic	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	streptogramin B antibiotic	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713410	streptogramin antibiotic	3	2
RM2016_clean21_plus_USA_chicago_11	ERR1713410	sulfonamide antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713410	tetracycline antibiotic	40	5
RM2016_clean21_plus_USA_chicago_11	ERR1725966	aminoglycoside antibiotic	4	1
