set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
pilot8	ERR1713331	k141_618999	k141_618999_3 # 695 # 1276 # -1 # ID=8489_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.536	AAC(6')-IIc	3002596	Perfect	100.0	100.00	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	dibekacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin; gentamicin	yes	plasmid_like	0.0069	0.9681	0.025
pilot8	ERR1713331	k141_619259	k141_619259_2 # 890 # 1261 # -1 # ID=8791_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.341	qacJ	3007014	Strict	42.31	114.95	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.5124	0.4333	0.0543
pilot8	ERR1713331	k141_721109	k141_721109_1 # 255 # 3815 # 1 # ID=9188_1;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.631	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	Strict	99.75	100.00	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifampin	yes	chromosome_like	0.9323	0.0443	0.0234
pilot8	ERR1713331	k141_6288	k141_6288_2 # 841 # 1275 # 1 # ID=9667_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.494	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	3003378	Strict	98.61	100.00	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan	yes	chromosome_like	0.7377	0.2002	0.0621
pilot8	ERR1713331	k141_622375	k141_622375_1 # 3 # 479 # 1 # ID=13516_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.610	vanY gene in vanB cluster	3002956	Strict	41.38	58.96	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	plasmid_like	0.2643	0.6	0.1357
pilot8	ERR1713331	k141_622756	k141_622756_3 # 1125 # 1454 # 1 # ID=14046_3;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.418	qacG	3007015	Strict	34.91	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0944	0.7362	0.1694
pilot8	ERR1713331	k141_111986	k141_111986_3 # 918 # 1262 # -1 # ID=14954_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.330	qacG	3007015	Strict	48.08	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0024	0.9934	0.0043
pilot8	ERR1713331	k141_112690	k141_112690_4 # 2939 # 3271 # -1 # ID=16019_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.444	qacJ	3007014	Strict	43.27	102.80	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.9224	0.0644	0.0132
pilot8	ERR1713331	k141_10878	k141_10878_3 # 1688 # 2014 # 1 # ID=16946_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.502	qacJ	3007014	Strict	43.4	100.93	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.9141	0.0657	0.0202
pilot8	ERR1713331	k141_726300	k141_726300_3 # 1306 # 2400 # 1 # ID=16982_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619	vanG	3002909	Strict	37.47	104.30	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	yes	chromosome_like	0.607	0.3412	0.0518
pilot8	ERR1713331	k141_318914	k141_318914_3 # 967 # 1794 # -1 # ID=17013_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.560	APH(6)-Id	3002660	Strict	99.64	98.92	aminoglycoside antibiotic	antibiotic inactivation	APH(6)	streptomycin	yes	plasmid_like	0.004	0.9886	0.0074
pilot8	ERR1713331	k141_216716	k141_216716_1 # 179 # 793 # -1 # ID=17850_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397	evgA	3000832	Perfect	100.0	100.00	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; tetracycline; oxacillin; norfloxacin	yes	chromosome_like	0.4536	0.4503	0.0961
pilot8	ERR1713331	k141_216716	k141_216716_2 # 1209 # 2366 # 1 # ID=17850_2;partial=01;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.420	emrK	3000206	Strict	100.0	109.97	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline	yes	chromosome_like	0.4536	0.4503	0.0961
pilot8	ERR1713331	k141_217884	k141_217884_3 # 1198 # 1542 # -1 # ID=19570_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386	qacJ	3007014	Strict	44.34	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.3618	0.5913	0.047
pilot8	ERR1713331	k141_728029	k141_728029_1 # 118 # 570 # -1 # ID=19582_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.464	arr-3	3002848	Perfect	100.0	100.00	rifamycin antibiotic	antibiotic inactivation	rifampin ADP-ribosyltransferase (Arr)	rifampin; rifaximin; rifabutin; rifapentine	yes	plasmid_like	0.2682	0.7047	0.0271
pilot8	ERR1713331	k141_728029	k141_728029_2 # 655 # 1287 # -1 # ID=19582_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.493	catB3	3002676	Perfect	100.0	100.00	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	azidamfenicol; chloramphenicol; thiamphenicol	yes	plasmid_like	0.2682	0.7047	0.0271
pilot8	ERR1713331	k141_728029	k141_728029_3 # 1425 # 2255 # -1 # ID=19582_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.347	OXA-1	3001396	Strict	99.64	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; amoxicillin; piperacillin; ampicillin; cefalotin	yes	plasmid_like	0.2682	0.7047	0.0271
pilot8	ERR1713331	k141_524833	k141_524833_2 # 223 # 1050 # 1 # ID=20172_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.500	OXA-2	3001397	Perfect	100.0	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; ceftazidime; amoxicillin; meropenem; ampicillin; cefalotin	yes	plasmid_like	0.0612	0.88	0.0588
pilot8	ERR1713331	k141_13163	k141_13163_1 # 210 # 542 # 1 # ID=20432_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.411	qacG	3007015	Strict	44.76	102.80	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.8081	0.1506	0.0413
pilot8	ERR1713331	k141_627341	k141_627341_4 # 2800 # 3123 # -1 # ID=20862_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.506	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	Strict	100.0	100.00	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan; enrofloxacin	yes	plasmid_like	0.0292	0.949	0.0218
pilot8	ERR1713331	k141_627341	k141_627341_5 # 3209 # 3673 # 1 # ID=20862_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.518	Escherichia coli soxR with mutation conferring antibiotic resistance	3003381	Strict	100.0	100.00	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; nalidixic acid; norfloxacin; cefalotin; triclosan	yes	plasmid_like	0.0292	0.949	0.0218
pilot8	ERR1713331	k141_525876	k141_525876_3 # 1371 # 1820 # -1 # ID=21853_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600	Pseudomonas aeruginosa soxR	3004107	Strict	69.01	95.51	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan	yes	plasmid_like	0.1709	0.7812	0.048
pilot8	ERR1713331	k141_117909	k141_117909_1 # 3 # 758 # -1 # ID=23888_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.454	OXA-333	3001521	Strict	98.41	91.97	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	plasmid_like	0.3875	0.5424	0.0701
pilot8	ERR1713331	k141_630281	k141_630281_1 # 189 # 1094 # 1 # ID=24937_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.655	mphA	3000316	Strict	99.67	100.00	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	erythromycin; roxithromycin; telithromycin; clarithromycin; azithromycin; dirithromycin; oleandomycin	yes	plasmid_like	0.009	0.985	0.006
