sample_id	genomad_context	drug_class	ARG_hit_count
ERR1713350	virus_like	elfamycin antibiotic	39
ERR1713350	virus_like	oxazolidinone antibiotic	36
ERR1713350	virus_like	salicylic acid antibiotic	18
ERR1713350	virus_like	isoniazid-like antibiotic	14
ERR1713350	virus_like	sulfonamide antibiotic	12
ERR1713350	virus_like	phosphonic acid antibiotic	12
ERR1713350	virus_like	nucleoside antibiotic	7
ERR1713350	virus_like	streptogramin B antibiotic	4
ERR1713350	virus_like	nitrofuran antibiotic	3
ERR1713350	virus_like	thioamide antibiotic	2
ERR1713350	virus_like	pyrazine antibiotic	2
ERR1713350	virus_like	bicyclomycin-like antibiotic	1
ERR1713350	virus_like	antibacterial free fatty acids	1
ERR1713350	virus_like	orthosomycin antibiotic	1
